         111611055 function calls (108786268 primitive calls) in 138.524 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1595018    0.231    0.000    0.231    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/artist.py:265(axes)
    55747    0.226    0.000    0.342    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:2051(scale)
    63495    0.224    0.000    1.201    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axis.py:521(update_position)
    19814    0.222    0.000    6.034    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axis.py:1418(get_minorticklocs)
   265907    0.220    0.000    0.664    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/contextlib.py:284(helper)
    35580    0.219    0.000    1.167    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:474(transformed)
431418/228938    0.218    0.000    0.267    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:2410(<lambda>)
   492821    0.215    0.000    0.560    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/__init__.py:1192(is_interactive)
    34920    0.215    0.000    0.248    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/ticker.py:1908(scale_range)
    48503    0.214    0.000    1.091    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/font_manager.py:677(__init__)
129383/128501    0.213    0.000    1.735    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axes/_base.py:799(_unstale_viewLim)
    53962    0.211    0.000    0.749    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/backend_bases.py:727(__init__)
   254940    0.209    0.000    0.724    0.000 <__array_function__ internals>:177(dot)
1992/1432    0.208    0.000    7.883    0.006 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axis.py:897(reset_ticks)
   284844    0.207    0.000    0.258    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:865(clean)
   217503    0.207    0.000    0.567    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/lines.py:1283(set_ydata)
    65364    0.206    0.000    1.220    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axis.py:460(update_position)
        1    0.203    0.203    0.203    0.203 {built-in method _tkinter.create}
    85344    0.198    0.000    2.316    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/text.py:93(_get_text_metrics_with_cache)
   869774    0.197    0.000    0.197    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/pyproj/utils.py:145(_convertback)
  1157166    0.196    0.000    0.196    0.000 {method 'append' of 'list' objects}
     4503    0.196    0.000    6.516    0.001 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axis.py:58(__init__)
    21000    0.195    0.000    0.595    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/curvelib.py:20(__call__)
    14000    0.194    0.000    0.674    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/zipfile.py:1510(open)
   320187    0.193    0.000    1.900    0.000 <__array_function__ internals>:177(amin)
265907/250207    0.192    0.000    2.172    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/contextlib.py:132(__enter__)
   329068    0.192    0.000    1.845    0.000 <__array_function__ internals>:177(amax)
    32837    0.190    0.000    4.483    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:649(union)
   186562    0.189    0.000    0.543    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/re/__init__.py:163(match)
   186273    0.186    0.000    0.745    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/colors.py:213(_is_nth_color)
1030152/821498    0.186    0.000    0.838    0.000 {built-in method builtins.hash}
   223318    0.186    0.000    1.042    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/artist.py:387(pchanged)
   908314    0.184    0.000    0.184    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:1039(get_points)
    10710    0.183    0.000    6.880    0.001 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/collections.py:2134(draw)
    35000    0.183    0.000    2.476    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/zipfile.py:926(read)
     7000    0.182    0.000    5.629    0.001 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/lib/format.py:697(read_array)
       42    0.182    0.004    0.182    0.004 {pyproj._transformer.from_crs}
   429215    0.182    0.000    0.274    0.000 {built-in method builtins.setattr}
    19032    0.182    0.000    2.403    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axis.py:2422(get_tick_space)
    76730    0.181    0.000    0.513    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:2352(__init__)
   126276    0.181    0.000    0.887    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:2508(composite_transform_factory)
    34981    0.180    0.000    1.565    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:1413(__sub__)
    41118    0.179    0.000    1.658    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/colors.py:1279(process_value)
   127400    0.179    0.000    0.187    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/tokenize.py:174(add_whitespace)
    17588    0.178    0.000    2.815    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/path.py:604(get_extents)
   156353    0.176    0.000    0.788    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/colors.py:265(to_rgba)
   106820    0.176    0.000    0.176    0.000 {built-in method builtins.divmod}
    11024    0.176    0.000    0.483    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/ticker.py:720(_compute_offset)
